adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/hpKtvmkQexH4Fd0sfUD0gWKfG2t.jpg,"[18, 14, 878]",1331497,en,Pluto,A person pitches an idea to their boss about manipulation of gravity.,2.029,/jB6X4O3bdeApgCZI8wyj3efdx81.jpg,2024-09-06,Pluto,False,7.0,1
False,/qHUszoW4cLAAIj2o8jsKDRzXssG.jpg,"[35, 80]",1267077,en,A Reel Heist,"A group of teenagers making a no-budget heist movie are forced to pull off a genuine heist, when the memory card containing their film is taken by the callous manager of a shopping mall.",2.028,/dhKZCdj6jnZatzGXqY8Ite9CVJ5.jpg,2024-03-29,A Reel Heist,False,3.6,5
False,/p4G9MWjrhNR0pv3Jd7FEJKgNVCa.jpg,[35],1105445,pt,Partiu América,"Matheus is the owner of a very simple amusement park and has the dream of visiting the famous parks in the USA. But when his family finally gets the opportunity to travel abroad for the first time, things don't go as expected.",2.028,/t0rCVvPp1uEVXDyyZKhnhcZMoRA.jpg,2024-05-14,Partiu América,False,5.0,14
False,/x3Gz0knAzDJifwKPvrbgAPDFSeu.jpg,"[28, 80]",1370939,zh,保镖,"Retired special forces officer Zhong Xiaonan is assigned to protect Lin Zihao, the son of a renowned Chinese-American scientist, as he returns to China. With their groundbreaking research targeted by a powerful international syndicate, Lin Zihao becomes the focus of a dangerous kidnapping plot. Teaming up with Chinese-American cop Peter, Zhong Xiaonan faces a series of fierce confrontations with the criminal group, working to prevent their scheme and ensure Lin Zihao’s safe return home.",2.027,/xbMFxU9EeAmOFAByonIGFYD9szx.jpg,2024-10-17,The Bodyguard,False,0.0,0
False,,[99],1329245,en,From Power To Prison: The Trump Story Part 1,"Step into the tumultuous world of America's 45th President as 'From Power to Prison: The Trump Story Part 1' unveils the dramatic trials and tribulations of Donald Trump. Follow the unprecedented journey from the pinnacle of power to the brink of incarceration, where the lines between politics and justice blur in this gripping documentary film. Get ready for a front-row seat to a chapter of history that's as shocking as it is captivating.",2.027,/uHydimPqymDJnymTgajU5O7l9s.jpg,2024-05-01,From Power To Prison: The Trump Story Part 1,False,0.0,0
False,/xfxvb6C7cu9RySgHBi8rFRlH7fU.jpg,[27],1296179,en,Room Service,"What’s the cost of one perfect evening?  We live in a world where everything is for sale, for the right price. Where the wealthy know there is no desire outside the reach of their wallet. “Room Service” is a brutal glimpse inside that world. Our protagonist is down on his luck, his family is on the verge of ruin, and with the help of the mysterious Caretaker, he might have found a way out of his trouble. But at what cost?",2.027,/8AOzrJsCMpbS2NaYT8wTth9BIr8.jpg,2024-05-23,Room Service,False,0.0,0
False,,[99],1219732,id,Soebertono Mote,"After his adoptive father returned to the Netherlands, the film director opened his diary and discovered personal stories that he didn’t know existed. Stories about love, armed conflict, and colonialism are told through the eyes of a man named Soebertono Mote a.k.a Father Bert Hagendoorn.",2.027,/gnRxXnq7T5kGsfPHQ5WUwm5taIZ.jpg,2024-01-25,The Silent Path,False,0.0,0
False,/rvy134amqUk3cE4ZJHJ3jxI6WYh.jpg,"[10752, 28]",1374740,en,Talons of the Phoenix,"A group of diverse and skilled Allied soldiers parachute into enemy territory with one goal: to retrieve intelligence from a spy working with the French Resistance. The commandos quickly find themselves facing relentless threats and grappling with the stakes of war. Their only choice, push forward and risk everything in a fight not only for survival but for victory.",2.026,/mwsFxVD4DtQ7GWl93YWjQNQhM1R.jpg,2024-10-21,WWII: Operation Phoenix,False,5.3,3
False,/gB9X57fiXBjrnZATUtkwRVGyKby.jpg,"[99, 10402, 36]",1320150,en,The Jersey Sound,"""The Jersey Sound"" is a love letter to New Jersey's diverse music scene. It captures its rich history through untold stories and intimate interviews while paying homage to legendary icons who have called Jersey home. It's an attitude.",2.026,/gtzA8luhcnmMnMDOXj7lZQUgekx.jpg,2024-07-22,The Jersey Sound,False,5.0,1
False,,[99],1220385,es,El Neceser Rojo,The filmmaker's mother recalls her own mother and childhood in the 1960s bouncing between Mexico and California. Her mother's small red vanity case becomes a symbol of her independence as a woman and also of her inaccessibility as a maternal figure. A deeply relatable story about growing up with an unconventional single mother.,2.026,/fEvv0wIC9xP9dLm2nvk1IobkZfH.jpg,2024-01-25,The Red Vanity Case,False,0.0,0
False,/FWz1tudguCLA9fc232T5TYIuw3.jpg,[99],1388079,fr,La plaque tournante,,2.024,/ruhiz9JEIIdbmjqk6ushEdVrawc.jpg,2024-12-05,La plaque tournante,False,0.0,0
False,/wAA54b5QxfeHNuuW0YIItd4LaRt.jpg,"[10770, 35, 18, 10749]",1310637,en,Get Him Back for Christmas,"Up-and-coming singer songwriter Bella Harlan comes home for Christmas and enlists her high-school songwriting partner Jack Grayton to craft a song to win back her rockstar boyfriend by Christmas. As the two reunite for the first time in a decade, they embark on a Christmas journey down memory lane, and soon realize true love may be closer than they thought.",2.024,/4UJ9wXfafypG7D55tefoPQYmIqD.jpg,2024-12-14,Get Him Back for Christmas,False,0.0,0
False,/frlztHbsk34KnwCzodt5aQWC4Vl.jpg,"[10402, 99]",1247217,en,Apple Music Live: Jennifer Lopez,Pop superstar Jennifer Lopez performs songs from her new album and some of her all-time biggest hits in Los Angeles.,2.024,/x4pft6p85eFMZPXG757ZnRztbnj.jpg,2024-02-22,Apple Music Live: Jennifer Lopez,False,6.5,13
False,/v8WY0v8mtnCokkoJe8JxslZNOhx.jpg,[18],1217187,ht,Des rêves en bateaux papiers,"Edouard has been living in Port-au-Prince with just his daughter Zara for five years. Since his wife left, his daughter and him have only received a cassette from her, and that was a long time ago. After years of absence, what can we expect from a distant love?",2.024,/4vVO58g1ZzmK0d8eXApAc2VZ9vv.jpg,2024-01-20,Dreams Like Paper Boats,False,0.0,0
